NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Luxembourg;Luxembourg;2586;406967;157,4;Europe;89;11;;;;;10000;2,6;24800;358;0;3;27;66;0,43;3,1;70,6;77,9;Tertiary ;Urban
Macedonia ;Skopje;25333;2178939;86;Europe;60;40;;;;;1900;4;880;;;;;;;;;;;Urban
Madagascar;Antananarivo;587040;14303147;24,4;Africa;27;73;;;;;11400;2,7;820;8610;;77;9;12;0;31,7;52;55;Primary;Rural
Malawi;Lilongwe;118480;10066344;85;Africa;14;86;;;;;6900;9,9;700;27094;;81;4;8;0;35,7;46,3;47,7;Primary;Rural
Malaysia;Kuala Lumpur;329750;20165395;61,2;Asia;54;46;725000;;;;0;9,5;9800;2700;;30;23;45;0,09;24,7;68,9;72,7;Tertiary ;Urban
Maldives;Male;300;270665;902,2;Oceania ;27;73;;;;;390;6,6;1560;5377;;;22;;0,01;35;66;64,1;Secondary;Rural
Mali;Bamako;1240000;9646073;7,8;Africa;27;73;;;;;5400;2,4;600;20602;68;82;2;15;0;30;45;47;Primary;Rural
Malta ;Valletta;320;372381;1163,7;Europe;89;11;;;;;4400;5;12000;461;4;2;32;61;0,45;7,5;73,8;78;Tertiary ;Urban
Marshall Islands;Majuro;181;58325;321,7;Oceania ;69;31;;;;;94;1,5;1680;;;;;;;;;;;Urban
Mauritania;Nouakchott;1030700;2334946;2,3;Africa;54;46;;;;;2800;4;1200;10128;66;;;;0;27,2;43;48;;Urban
Mauritius ;Port Louis;1860;1137099;611,3;Oceania ;41;59;;;;;10900;2,7;9600;1183;;16;43;35;0,06;14,5;64,7;72,2;Secondary;Rural
Mexico;Mexico City ;1972550;95771579;48,6;America ;75;25;3280000;48800;28100000;1900000;0;-6,9;7700;600;;;20;26;0,11;5,3;67,8;73,9;Tertiary ;Urban
Micronesia (Fed,St, of) ;Kolonia ;702;127069;181;Oceania ;28;72;;;;;205;1,4;1700;;;;;;;;;;;Rural
